"","Leverage","SPE"
"266.021750459164",4.02060621254713e-05,15.4662083338059
"535.540668859757",4.03257041145224e-07,15.454338899229
"531.316625536963",5.15814668267455e-05,15.4258423083035
"70.9929637702482",1.12351647784571e-07,15.4147876836509
"70.9925129121915",1.24249219343868e-07,15.3239704241495
"86.9843440527349",5.21557212770994e-07,15.2945982030999
"415.302407669764",5.86124458434802e-05,15.2772539710379
"398.043974397744",4.06116646397394e-05,15.2485166726946
"164.009445",5.13898441208364e-06,15.2377291442048
"408.9633",9.20102695328364e-06,15.1309282615162
"543.324872795398",2.92383618230248e-05,15.10605242176
"468.844333309411",2.79645069894469e-05,15.0100580144095
"540.109381314391",1.02955265540104e-06,14.9505858077912
"119.046655938855",2.87270277029237e-05,14.9479843205578
"245.109067288887",1.52768226514422e-05,14.9353075343821
"271.079661495886",1.33683142922934e-12,14.8678744923335
"184.950490287281",2.48362464330044e-06,14.8265744686369
"112.884023463003",2.53860774938828e-06,14.8164975803174
"87.0487242857143",4.52570038523001e-06,14.8051941734803
"133.025909052078",2.892946095405e-05,14.7714490005203
"152.02016421371",4.91269792327503e-05,14.755204299774
"389.996571411858",3.4338092997867e-05,14.6739012539412
"470.922701748116",2.91579521058508e-05,14.6605484309481
"153.070900636941",2.97541530560383e-05,14.6438334425353
"119.047735741535",1.00598251198886e-05,14.6387905079699
"123.060624550071",1.64484389612277e-05,14.6368091894712
"393.082958001024",0.000238460008128447,14.6316793988075
"155.050831903044",1.57907536060946e-07,14.6202084472482
"277.110135901162",4.03673572787997e-06,14.5888868711571
"420.027137795715",8.21208535673894e-05,14.5739569878572
"268.806414100879",1.42614412167694e-05,14.5678512540024
"217.066159735652",2.66097726351409e-06,14.5478235613162
"70.9809043260853",5.19857267373731e-07,14.5327157949155
"152.006906712382",1.81602284003665e-06,14.5170711975726
"397.328053997508",1.50017866059075e-05,14.4375517269594
"145.108066742873",3.32783683598825e-05,14.4147671599149
"560.262462878533",7.21430612598657e-06,14.3900342758355
"451.168190689535",2.07120082000598e-06,14.3603823730337
"288.180420801901",1.37694623215717e-07,14.3601908529865
"70.994956272773",2.87381866700528e-07,14.3104545873138
"441.297245432229",5.17635649929574e-06,14.2730941603138
"464.302106148718",1.01163584066151e-05,14.2485034905486
"184.057979438642",2.5632345658481e-06,14.2449275924434
"86.9171041374109",4.46514001047609e-06,14.1710166076832
"333.130160940597",3.28839768146096e-06,14.1412517253936
"266.020335277509",5.1295423752614e-05,14.1313476397889
"379.152027166352",8.33992353743832e-06,14.1204019240793
"375.026043424228",3.8980200056689e-06,14.0913976318727
"466.772181983387",1.76524398771627e-06,14.0870013386996
"70.9905272409991",3.56171479865811e-06,14.0638019669382
"152.007550094287",9.30031354687631e-07,14.0451868593921
"158.08241266096",4.70755315112509e-05,14.003267487071
"239.052740769848",3.43107141474916e-05,13.96389567205
"456.955168288083",1.21985842055516e-07,13.9247490674378
"436.820974602803",3.72388077636588e-07,13.9109747165147
"522.23904294535",7.43855342540105e-05,13.864910667686
"164.008738663123",4.61215966369681e-07,13.8499675960261
"136.952546110272",1.07571650780201e-05,13.8250664023434
"309.85291782776",1.97563290462203e-05,13.8204111199405
"280.055634877147",5.48006931899843e-10,13.7915625697072
"484.697023288731",9.26243726290488e-07,13.7611446696589
"156.042894951244",2.29404246271313e-05,13.7388511092425
"139.984579695867",1.96585596753161e-05,13.6077479574124
