"","Hotelling-T2"
"277.140916671926",13.783
"509.931516392027",13.769
"555.385580420086",13.767
"560.830728513325",13.763
"514.824770049153",13.724
"555.395798161263",13.716
"488.880406001172",13.708
"143.031425164657",13.698
"570.350966760688",13.694
"387.907625269838",13.694
"367.155189462637",13.677
"226.037755010499",13.663
"282.958965040892",13.649
"572.773397900842",13.643
"428.374243662165",13.64
"262.990308802135",13.626
"466.04288314635",13.614
"539.292619448356",13.6
"280.871131282414",13.592
"269.039975363696",13.579
"438.145382156074",13.575
"531.308371445272",13.565
"288.902873762448",13.564
"556.63397837353",13.562
"441.011380251649",13.546
"187.086513832185",13.54
"316.320883835497",13.532
"493.038526305034",13.531
"304.975226438064",13.526
"395.080860362064",13.495
"203.14803096675",13.486
"515.31720485497",13.483
"487.323987559011",13.466
"525.269208585033",13.45
"292.082901671633",13.446
"555.229756113715",13.403
"306.276635070864",13.386
"441.24053764089",13.35
"461.272448677039",13.344
"330.888135628136",13.329
"319.241270464253",13.304
"361.126831900606",13.287
"465.333773709677",13.272
"398.274662428582",13.225
"522.808246492615",13.195
"344.092637250392",13.17
"554.434662997957",13.153
"282.867813167863",13.146
"501.886316272846",13.128
"378.818163293775",13.093
"459.123694964346",13.093
"575.836716783053",13.086
"583.467067938552",13.083
"305.156945656623",13.078
"585.252290667518",13.074
"498.919094679309",13.059
"522.857575603508",13.04
"194.115075600783",13.025
"354.138982905509",13.013
"482.171119475052",13.004
"241.154372897158",12.995
"323.129107624419",12.994
"495.241096176363",12.979
"505.273402880775",12.974
"503.297834852867",12.973
"531.144066708652",12.952
"144.101842776708",12.952
"217.11978595428",12.925
"497.613755826268",12.916
"396.990341171462",12.896
"562.25500778619",12.892
"404.364164969407",12.89
"524.303534496215",12.889
"433.014443336526",12.878
"271.091953993403",12.845
"598.906057888819",12.845
"498.286870438943",12.824
"374.024999025524",12.817
"269.043826548448",12.775
"457.435994086303",12.772
"351.077652741637",12.768
"505.316360207224",12.744
"545.915217610653",12.729
"260.948786220068",12.729
"322.134253433831",12.711
"320.949002913265",12.709
"246.032500008335",12.707
"346.861621486641",12.704
"482.702281882666",12.694
"316.955678099395",12.646
"470.180658314035",12.645
"413.884173913274",12.635
"328.936198109328",12.634
"261.052248238519",12.627
"491.897333901702",12.627
"428.97851581583",12.626
"576.653819358412",12.612
"272.043217560174",12.611
"536.997676147903",12.611
"447.032958444581",12.607
"509.264026398351",12.596
"487.32198051324",12.582
"316.954158334713",12.576
"328.847006885674",12.554
"251.894344380226",12.541
"427.031001595665",12.533
"512.954525478156",12.521
"203.058560227273",12.505
"437.289977718371",12.494
"201.038133619575",12.494
"503.255882154087",12.493
"309.062611365393",12.492
"548.327311690426",12.477
"547.252631669558",12.477
"572.048750421235",12.472
"210.932360497376",12.444
"572.862395130616",12.444
"546.836869507996",12.443
"259.094060607778",12.432
"313.065674849277",12.426
"433.033218792251",12.423
"314.080596431823",12.41
"478.229490913827",12.408
"506.347794823262",12.396
"268.944883904367",12.388
"506.899615921342",12.377
"192.961445889805",12.376
"411.181286681001",12.365
"571.806992673729",12.362
"279.057196902704",12.353
"432.043910531381",12.342
"574.409037658408",12.333
"204.941680496785",12.331
"425.214272384477",12.33
"402.357594640976",12.32
"425.177457268307",12.318
"561.031554777562",12.312
"401.231524653095",12.311
"444.91673432236",12.305
"558.942537971742",12.297
"546.103553803437",12.295
"89.0231801075269",12.276
"430.979548548633",12.269
"552.955775200807",12.263
"268.890895748808",12.263
"320.234466554759",12.255
"496.877193548943",12.242
"396.895944296928",12.225
"591.92730233926",12.22
"249.109758962047",12.22
"404.99105721242",12.213
"550.233861983224",12.21
"575.270872416683",12.203
"394.300713048843",12.188
"366.250333075998",12.182
"188.035090656069",12.163
"289.975630566729",12.158
"449.308970241954",12.124
"579.817755116152",12.122
"344.135621773624",12.069
"494.044737962679",12.062
"487.958230408171",12.047
"203.021816504034",12.04
"590.339549761923",12.036
"425.077302409585",12.031
"501.216184266078",12.03
"426.310867138842",12.023
"546.763322350306",12.001
"506.933525949651",11.982
"503.204700927736",11.981
"205.056764110368",11.98
"422.746449126338",11.977
"517.841859558449",11.97
"372.107285515147",11.961
"405.853440265323",11.927
"333.22140721129",11.923
"322.856334339558",11.92
"590.731202572785",11.9
"385.153226926779",11.893
"505.203520839171",11.879
"320.859279531712",11.865
"560.965010101464",11.857
"537.210380369588",11.834
"497.833482065759",11.832
"556.368973911645",11.825
"496.699866490419",11.824
"338.830050420502",11.817
"501.038478897025",11.814
"577.283199324307",11.793
"264.843961289955",11.788
"592.585200439722",11.784
"466.847338597383",11.784
"531.851189073191",11.775
"515.243853531731",11.774
"414.269394476564",11.767
"164.128070777099",11.766
"424.28154499088",11.76
"324.853423794405",11.744
"394.836564643435",11.74
"512.216026712053",11.737
"163.04766668754",11.732
"262.990827226281",11.723
"584.642737813936",11.713
"194.958495730469",11.707
"420.661763373601",11.705
"531.346196442247",11.697
"542.252093559963",11.693
"470.92310136579",11.692
"144.063049935381",11.69
"454.746121858835",11.679
"543.200056180641",11.672
"351.869354580959",11.665
"449.249863458137",11.66
"460.877815270894",11.658
"333.219942811499",11.644
"278.919811992963",11.641
"380.96944392962",11.641
"442.300170654026",11.636
"462.147203031336",11.621
"420.659970792971",11.616
"474.942845603459",11.614
"326.849582952736",11.611
"315.069538926847",11.61
"512.907571407294",11.608
"560.364878006608",11.599
"506.311089090334",11.592
"484.229579684428",11.59
"463.05607662812",11.582
"529.854700331973",11.575
"509.772346242534",11.566
"276.985051549579",11.559
"474.186033977976",11.554
"403.882762367697",11.547
"558.839139680492",11.539
"229.156336316013",11.532
"529.291867157623",11.504
"91.0285735185277",11.491
"427.261765464438",11.489
"575.355948367959",11.476
"594.251549730298",11.473
"542.881013749961",11.472
"336.051042841223",11.471
"219.0221",11.469
"493.946838525596",11.464
"369.239998653829",11.461
"266.893868773071",11.46
"257.187512376566",11.456
"462.823918443126",11.449
"531.202073868419",11.447
"391.173096298933",11.446
"306.94294604366",11.419
"250.144926963874",11.418
"543.817024593209",11.405
"552.858786288265",11.387
"266.894562246495",11.379
"292.896570665511",11.368
"483.199453547907",11.367
"382.811058784931",11.365
"324.9008991585",11.353
"321.1461241089",11.353
"489.242456804161",11.35
"440.769371241091",11.343
"443.00351926501",11.339
"539.797085220854",11.31
"215.067137716996",11.31
"456.056097983739",11.305
"262.90035907908",11.302
"318.115362596529",11.298
"383.03975938626",11.297
"478.753253039683",11.286
"272.095620672401",11.265
"591.93014100663",11.259
"328.894077163629",11.242
"503.004681572414",11.236
"530.23509774945",11.235
"460.782645474829",11.212
"104.992206949126",11.209
"502.379054033711",11.201
"532.899397747058",11.192
"536.833159000325",11.191
"354.269360404712",11.181
"582.689575111102",11.177
"150.976739596674",11.174
"460.187885587855",11.172
"485.204998847232",11.166
"494.867102838524",11.16
"579.857127757738",11.159
"356.128590825233",11.156
"469.186185894784",11.148
"264.897424157626",11.148
"378.907909405929",11.147
"342.82404626685",11.145
"262.014461420081",11.142
"521.956606033908",11.142
"339.027320700545",11.138
"338.985267902915",11.133
"362.932312512057",11.112
"203.145129017333",11.111
"529.939932487489",11.105
"89.033073988803",11.093
"250.919950867111",11.089
"384.808163810662",11.082
"396.078924768062",11.078
"470.922701748116",11.073
"481.981823109684",11.07
"147.986367843349",11.033
"470.950058690392",11.032
"254.961526537508",11.029
"261.13072326408",11.027
"582.878114840082",11.027
"202.958923195497",11.026
"395.086161757807",11.019
"217.993479579608",11.015
"247.016364758981",11.007
"590.810854422968",10.99
"508.869995547893",10.981
"524.706942784284",10.958
"213.145982515657",10.957
"149.093726419732",10.953
"539.785131782978",10.95
"537.89778354914",10.942
"490.947202024514",10.94
"504.785613406347",10.929
"444.710657555661",10.928
"210.109897366345",10.916
"591.991879820763",10.914
"548.275335607388",10.906
"576.854452669745",10.904
"537.287870781774",10.891
"204.055911464621",10.883
"297.153230094827",10.878
"359.05188",10.874
"195.051053811476",10.872
"489.190050407803",10.864
"591.387462083217",10.859
"325.162367459067",10.846
"427.359539329967",10.842
"487.176352830634",10.838
"415.242948912508",10.838
"426.21805260703",10.827
"390.278010106524",10.801
"208.935273319193",10.786
"279.039497665295",10.784
"522.381102377448",10.781
"275.125170940868",10.78
"556.378231827604",10.774
"594.855024777678",10.772
"530.232609220513",10.772
"488.240832874377",10.751
"563.823593584992",10.744
"288.289519666053",10.74
"197.078376726041",10.738
"326.805082697235",10.737
"342.779151915035",10.734
"505.940951420954",10.732
"557.254323264619",10.724
"445.313831470548",10.721
"562.952357339608",10.719
"456.745667308758",10.715
"576.790133153091",10.71
"206.938744424497",10.708
"395.00494620597",10.696
"596.800879425281",10.692
"446.955717145997",10.682
"351.997248612323",10.665
"159.010690647287",10.659
"572.040104226294",10.657
"305.264310946722",10.656
"497.864874394565",10.654
"349.183118967444",10.651
"506.240853964486",10.648
"588.698266141664",10.647
"340.826678487207",10.647
"478.226460667373",10.639
"403.881132543391",10.633
"514.827233026832",10.628
"367.89675158088",10.627
"476.821518721233",10.624
"553.955891801746",10.622
"444.203673126498",10.62
"578.409864090646",10.604
"531.762944928724",10.603
"574.858916042446",10.602
"572.904928785369",10.601
"571.363190261023",10.579
"578.943288379456",10.576
"418.999091601582",10.572
"477.327328716371",10.556
"522.811853858093",10.539
"570.856486956871",10.534
"355.033832488862",10.534
"520.82792235519",10.504
"391.985843610953",10.504
"586.60421191634",10.5
"410.186633488023",10.499
"474.878814201794",10.499
"574.016049198985",10.496
"542.338377727158",10.495
"182.057756954918",10.495
"312.872821300175",10.482
"434.853126180632",10.478
"533.961182307168",10.462
"522.260427907802",10.446
"278.874260938955",10.439
"511.358833380368",10.43
"252.006601605607",10.425
"574.823374302997",10.417
"594.341581118941",10.403
"519.030454785157",10.397
"524.911917004129",10.391
"566.972043398976",10.387
"578.743132434439",10.385
"427.007211684594",10.38
"436.987903479995",10.378
"543.82443580086",10.361
"584.823234743951",10.36
"400.782064764339",10.353
"541.389911010793",10.345
"282.119630364526",10.342
"304.299750116018",10.332
"589.878214577719",10.327
"302.144260090298",10.325
"502.996011401553",10.322
"382.809465214818",10.319
"591.030177626404",10.303
"219.031755",10.303
"510.790848421086",10.291
"555.241035591732",10.28
"386.29125781383",10.273
"266.942053518844",10.271
"449.168588210268",10.271
"532.065096250152",10.27
"388.998453480724",10.268
"380.815233312547",10.267
"557.245001220223",10.256
"258.997096662168",10.253
"466.115017434175",10.253
"499.882074633816",10.253
"425.948217264926",10.249
"545.351537968979",10.242
"590.321358677587",10.229
"516.788730583923",10.223
"488.792545318736",10.217
"410.855816376813",10.211
"503.898868490747",10.21
"252.164958570417",10.205
"415.991002873247",10.193
"454.748328842297",10.188
"218.964105350915",10.179
"415.245448810554",10.179
"495.219903131478",10.176
"544.815093335991",10.173
"541.894233563983",10.168
"534.295405481294",10.166
"443.288412319322",10.161
"474.624152651701",10.159
"583.859849509035",10.156
"576.943995829671",10.146
"478.909692462638",10.146
"486.785556089134",10.143
"546.426494179475",10.14
"534.968155661257",10.136
"566.715219531443",10.132
"291.983121271763",10.13
"151.061475951806",10.12
"378.906862469477",10.114
"135.002755813429",10.095
"571.861312039189",10.089
"501.40377458918",10.082
"570.961029296689",10.081
"495.358823940425",10.08
"366.160419190163",10.08
"276.922725742167",10.079
"306.972867893751",10.076
"114.892700977031",10.067
"408.149032877531",10.054
"173.043522798007",10.041
"428.98254221389",10.034
"563.255988271678",10.031
"562.248250555638",10.026
"221.024507587745",10.025
"383.978336710664",10.024
"462.18485806946",10.022
"318.230444733195",10.006
"427.313703962337",9.9836
"564.764239000942",9.9781
"483.937601147384",9.9671
"426.959253673513",9.9643
"491.894378777875",9.9615
"481.08045782987",9.956
"487.031110313928",9.955
"417.929542168883",9.9526
"515.818046933577",9.9514
"586.290968061802",9.9497
"297.119426394438",9.9495
"300.794753200701",9.9416
"506.988281061855",9.9412
"556.331846545959",9.9407
"544.043142072019",9.9189
"484.278113188993",9.9182
"329.02291",9.9116
"477.918387831668",9.8993
"173.081848071671",9.8966
"549.279333698682",9.8942
"586.927254197736",9.8929
"539.209665818821",9.8796
"208.983303741818",9.8794
"573.756004856488",9.8774
"457.239896833615",9.8669
"444.337821055281",9.8656
"238.039201647835",9.8595
"477.289383432169",9.8565
"471.219830528879",9.8425
"427.831745644902",9.8406
"254.815566055892",9.8365
"437.302237130103",9.8328
"573.912737942363",9.8312
"519.352869981359",9.8217
"269.230860002618",9.8211
"400.271488808908",9.8203
"402.779346610604",9.8189
"324.90154549588",9.8173
"574.929144286403",9.8172
"590.882599579875",9.8142
"489.338860140317",9.8115
"572.913046846911",9.8078
"378.863249438297",9.7923
"368.757671157772",9.7834
"277.05982161894",9.7579
"469.312958509358",9.7541
"251.161603288821",9.7522
"514.904590951614",9.7466
"485.072164861643",9.7418
"532.649372720458",9.7404
"424.75563709165",9.7368
"497.727428331078",9.7263
"562.364034264924",9.7261
"515.235605752788",9.7258
"560.684966283284",9.7219
"471.057157704118",9.6952
"520.693605391567",9.69
"486.363126188164",9.6871
"517.784940706567",9.6854
"495.218863922327",9.6853
"555.77650626203",9.6852
"325.184664521235",9.6755
"490.897799512887",9.6741
